SNRs,Gid,addrs,bssid,time
"[34, 34, 34]",5,"['48:e2:44:92:98:b1', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:57.968134
"[34, 34, 44]",40,"['48:e2:44:92:98:b1', 'ac:e0:10:7f:b7:a1', 'ac:e0:10:7f:c1:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:57.990240
"[36, 37, 35]",17,"['48:e2:44:b1:2d:3b', '48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5']",19:64:72:7e:a8:70,2016-07-14T11:45:58.000657
"[34, 38, 41]",24,"['ac:e0:10:7f:69:db', 'a8:a7:95:20:0e:ad', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:58.010974
"[35, 41, 40]",41,"['48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:a6:e9']",19:64:72:7e:a8:70,2016-07-14T11:45:58.018725
"[34, 35, 35]",5,"['48:e2:44:92:98:b1', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:58.028909
"[41, 44, 37]",34,"['ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:c1:a1', '48:e2:44:b1:2d:3b']",19:64:72:7e:a8:70,2016-07-14T11:45:58.039270
"[37, 36, 40]",23,"['48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5', 'ac:e0:10:7f:a6:e9']",19:64:72:7e:a8:70,2016-07-14T11:45:58.049043
"[34, 38, 41]",24,"['ac:e0:10:7f:69:db', 'a8:a7:95:20:0e:ad', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:58.061108
"[36, 40, 35]",30,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:a6:f9', 'ac:e0:10:7f:a6:e5']",19:64:72:7e:a8:70,2016-07-14T11:45:58.072508
"[37, 36, 38]",37,"['48:e2:44:92:3a:25', '48:e2:44:b1:2d:3b', 'a8:a7:95:20:0e:ad']",19:64:72:7e:a8:70,2016-07-14T11:45:58.092098
"[37, 35, 41]",38,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:a6:e5', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:58.102642
"[41, 44, 43]",39,"['ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:c1:a1', 'ac:e0:10:7f:a6:f9']",19:64:72:7e:a8:70,2016-07-14T11:45:58.113181
"[34, 34, 34]",5,"['48:e2:44:92:98:b1', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:58.125528
"[37, 40, 35]",30,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:a6:f9', 'ac:e0:10:7f:a6:e5']",19:64:72:7e:a8:70,2016-07-14T11:45:58.135911
"[37, 37, 36]",17,"['48:e2:44:b1:2d:3b', '48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5']",19:64:72:7e:a8:70,2016-07-14T11:45:58.153305
"[34, 38, 42]",24,"['ac:e0:10:7f:69:db', 'a8:a7:95:20:0e:ad', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:58.163561
"[35, 37, 40]",41,"['48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:a6:e9']",19:64:72:7e:a8:70,2016-07-14T11:45:58.174727
"[34, 35, 34]",5,"['48:e2:44:92:98:b1', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:58.185207
"[41, 44, 36]",34,"['ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:c1:a1', '48:e2:44:b1:2d:3b']",19:64:72:7e:a8:70,2016-07-14T11:45:58.195027
"[37, 36, 40]",23,"['48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5', 'ac:e0:10:7f:a6:e9']",19:64:72:7e:a8:70,2016-07-14T11:45:58.204762
"[33, 38, 41]",24,"['ac:e0:10:7f:69:db', 'a8:a7:95:20:0e:ad', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:58.214857
"[36, 43, 35]",30,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:a6:f9', 'ac:e0:10:7f:a6:e5']",19:64:72:7e:a8:70,2016-07-14T11:45:58.223423
"[33, 40, 35]",35,"['ac:e0:10:7f:69:db', 'ac:e0:10:7f:a6:e9', 'ac:e0:10:7f:67:f5']",19:64:72:7e:a8:70,2016-07-14T11:45:58.236106
"[37, 37, 38]",37,"['48:e2:44:92:3a:25', '48:e2:44:b1:2d:3b', 'a8:a7:95:20:0e:ad']",19:64:72:7e:a8:70,2016-07-14T11:45:58.249076
"[37, 35, 41]",38,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:a6:e5', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:58.259147
"[41, 40, 40]",39,"['ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:c1:a1', 'ac:e0:10:7f:a6:f9']",19:64:72:7e:a8:70,2016-07-14T11:45:58.272709
"[34, 35, 34]",5,"['48:e2:44:92:98:b1', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:58.290010
"[37, 40, 35]",30,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:a6:f9', 'ac:e0:10:7f:a6:e5']",19:64:72:7e:a8:70,2016-07-14T11:45:58.299833
"[34, 34, 40]",40,"['48:e2:44:92:98:b1', 'ac:e0:10:7f:b7:a1', 'ac:e0:10:7f:c1:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:58.310109
